"","Date","Team","Opponent","Location","TeamScore","OppScore","POSS","Result"
"1","11/18/2014","A&M-Corpus Chris","Georgetown","A",62,78,65.925,"L"
"2","11/23/2014","A&M-Corpus Chris","Saint Louis","A",62,56,63.3125,"W"
"3","11/25/2014","A&M-Corpus Chris","Bradley","A",38,52,55.2125,"L"
"4","11/28/2014","A&M-Corpus Chris","Mississippi Val.","H",75,66,61.875,"W"
"5","11/29/2014","A&M-Corpus Chris","Radford","A",46,57,57.95,"L"
"6","12/06/2014","A&M-Corpus Chris","Denver","H",48,64,56.525,"L"
"7","12/15/2014","A&M-Corpus Chris","UTSA","H",60,73,65.6625,"L"
"8","12/17/2014","A&M-Corpus Chris","Denver","A",73,83,66.5375,"L"
"9","12/20/2014","A&M-Corpus Chris","CSUN","A",75,68,67.0375,"W"
"10","12/22/2014","A&M-Corpus Chris","Cal St. Fullerton","A",77,82,69.5125,"L"
"11","01/06/2015","A&M-Corpus Chris","Central Ark.","A",77,70,76.1,"W"
"12","01/10/2015","A&M-Corpus Chris","McNeese","H",71,61,68.5875,"W"
"13","01/12/2015","A&M-Corpus Chris","Lamar University","H",64,66,61.2375,"L"
"14","01/17/2015","A&M-Corpus Chris","Nicholls St.","A",69,66,61.9875,"W"
"15","01/20/2015","A&M-Corpus Chris","Northwestern St.","H",88,76,68.225,"W"
"16","01/24/2015","A&M-Corpus Chris","New Orleans","A",71,67,72.775,"W"
"17","01/26/2015","A&M-Corpus Chris","Southeastern La.","A",70,61,72.3,"W"
"18","01/31/2015","A&M-Corpus Chris","SFA","A",51,61,54.775,"L"
"19","02/03/2015","A&M-Corpus Chris","Incarnate Word","H",71,70,63.2375,"W"
"20","02/07/2015","A&M-Corpus Chris","Sam Houston St.","A",59,67,63.9,"L"
"21","02/09/2015","A&M-Corpus Chris","Houston Baptist","A",66,77,62.875,"L"
"22","02/14/2015","A&M-Corpus Chris","SFA","H",71,63,65.0375,"W"
"23","02/16/2015","A&M-Corpus Chris","New Orleans","H",55,53,58.65,"W"
"24","02/21/2015","A&M-Corpus Chris","Incarnate Word","A",68,74,67.6875,"L"
"25","02/24/2015","A&M-Corpus Chris","Abilene Christian","A",67,44,62.475,"W"
"26","02/28/2015","A&M-Corpus Chris","Sam Houston St.","H",61,59,62.725,"W"
"27","03/05/2015","A&M-Corpus Chris","Houston Baptist","H",85,72,65.5125,"W"
"28","03/07/2015","A&M-Corpus Chris","Abilene Christian","H",58,27,57.8625,"W"
"29","03/12/2015","A&M-Corpus Chris","New Orleans","N",61,58,64.8,"W"
"30","03/13/2015","A&M-Corpus Chris","Sam Houston St.","N",67,70,59.225,"L"
"31","03/18/2015","A&M-Corpus Chris","FGCU","A",75,69,67.1,"W"
"32","03/23/2015","A&M-Corpus Chris","Kent St.","H",65,69,60.7375,"L"
"33","11/19/2014","Abilene Christian","Tulsa","A",39,65,59.6,"L"
"34","11/22/2014","Abilene Christian","Duquesne","H",81,102,78.175,"L"
"35","11/29/2014","Abilene Christian","UC Riverside","A",56,76,63.6,"L"
"36","12/04/2014","Abilene Christian","Sacramento St.","H",72,61,64.0625,"W"
"37","12/06/2014","Abilene Christian","Houston","A",59,71,63.3625,"L"
"38","12/17/2014","Abilene Christian","Loyola Chicago","A",44,83,62.025,"L"
"39","12/20/2014","Abilene Christian","Boise St.","A",33,77,56.85,"L"
"40","12/22/2014","Abilene Christian","South Carolina St.","N",65,59,69.475,"W"
"41","12/23/2014","Abilene Christian","Ark.-Pine Bluff","N",69,61,64.55,"W"
"42","12/28/2014","Abilene Christian","Grand Canyon","A",81,83,74.1125,"L"
"43","01/04/2015","Abilene Christian","Central Ark.","H",87,70,71.475,"W"
"44","01/10/2015","Abilene Christian","Nicholls St.","H",71,54,67.7625,"W"
"45","01/13/2015","Abilene Christian","Northwestern St.","A",95,81,66.55,"W"
"46","01/17/2015","Abilene Christian","SFA","H",64,82,65.8875,"L"
"47","01/20/2015","Abilene Christian","McNeese","A",56,63,70.25,"L"
"48","01/24/2015","Abilene Christian","Incarnate Word","H",61,77,63.2375,"L"
"49","01/26/2015","Abilene Christian","Sam Houston St.","H",63,80,60.975,"L"
"50","01/31/2015","Abilene Christian","Lamar University","A",74,84,72.45,"L"
"51","02/02/2015","Abilene Christian","Houston Baptist","A",61,77,67.4875,"L"
"52","02/07/2015","Abilene Christian","Southeastern La.","H",52,65,61.275,"L"
"53","02/09/2015","Abilene Christian","Lamar University","H",61,80,66.1125,"L"
"54","02/16/2015","Abilene Christian","Sam Houston St.","A",49,71,59,"L"
"55","02/21/2015","Abilene Christian","Southeastern La.","A",54,55,60.8125,"L"
"56","02/28/2015","Abilene Christian","New Orleans","A",55,75,58.6,"L"
"57","03/03/2015","Abilene Christian","Houston Baptist","H",83,71,61.65,"W"
"58","03/05/2015","Abilene Christian","Incarnate Word","A",52,64,65.8875,"L"
"59","11/14/2014","Air Force","Army West Point","A",78,84,69.6,"L"
"60","11/15/2014","Air Force","The Citadel","N",68,55,56.8375,"W"
"61","11/25/2014","Air Force","Colorado","A",53,68,63.95,"L"
"62","11/30/2014","Air Force","Texas Tech","A",62,63,62.3625,"L"
"63","12/03/2014","Air Force","Grambling","H",59,34,50.55,"W"
"64","12/08/2014","Air Force","Omaha","H",77,61,62.65,"W"
"65","12/13/2014","Air Force","Ark.-Pine Bluff","H",80,47,56.8125,"W"
