"","Date","Team","Opponent","Location","Result","TeamScore","OppScore"
"4",2016-11-11,"A&M-Corpus Chris","Our Lady Of The Lake","H","W",115,100
"5",2016-11-16,"A&M-Corpus Chris","UTRGV","A","W",94,72
"6",2016-11-21,"A&M-Corpus Chris","Texas St.","A","W",73,69
"7",2016-11-23,"A&M-Corpus Chris","Jarvis Christian","H","W",84,61
"8",2016-11-29,"A&M-Corpus Chris","UTRGV","H","W",84,68
"9",2016-12-03,"A&M-Corpus Chris","Cal Poly","A","L",70,82
"10",2016-12-05,"A&M-Corpus Chris","Texas A&M","A","L",69,86
"11",2016-12-09,"A&M-Corpus Chris","St. Mary's (TX)","H","W",77,67
"12",2016-12-18,"A&M-Corpus Chris","UTSA","H","W",73,69
"13",2016-12-20,"A&M-Corpus Chris","St. Mary's (CA)","A","L",46,67
"14",2016-12-22,"A&M-Corpus Chris","Oklahoma St.","A","L",70,92
"15",2016-12-31,"A&M-Corpus Chris","New Orleans","A","L",72,73
"16",2017-01-02,"A&M-Corpus Chris","Nicholls St.","A","L",64,68
"17",2017-01-07,"A&M-Corpus Chris","Northwestern St.","H","W",99,82
"18",2017-01-11,"A&M-Corpus Chris","SFA","A","L",46,79
"19",2017-01-14,"A&M-Corpus Chris","Central Ark.","H","W",88,81
"20",2017-01-19,"A&M-Corpus Chris","SFA","H","L",58,61
"21",2017-01-21,"A&M-Corpus Chris","Sam Houston St.","A","L",62,76
"22",2017-01-25,"A&M-Corpus Chris","Lamar University","A","W",69,66
"23",2017-01-28,"A&M-Corpus Chris","Abilene Christian","H","W",72,60
"24",2017-02-01,"A&M-Corpus Chris","Houston Baptist","H","W",90,79
"25",2017-02-08,"A&M-Corpus Chris","Southeastern La.","H","W",80,75
"26",2017-02-11,"A&M-Corpus Chris","McNeese","A","W",73,66
"27",2017-02-15,"A&M-Corpus Chris","Incarnate Word","A","W",97,81
"28",2017-02-18,"A&M-Corpus Chris","Lamar University","H","W",70,63
"29",2017-02-22,"A&M-Corpus Chris","Abilene Christian","A","-",NA,NA
"30",2017-02-25,"A&M-Corpus Chris","McNeese","H","-",NA,NA
"31",2017-03-01,"A&M-Corpus Chris","Houston Baptist","A","-",NA,NA
"32",2017-03-04,"A&M-Corpus Chris","Incarnate Word","H","-",NA,NA
"33",2016-11-11,"Abilene Christian","Schreiner","H","W",73,59
"34",2016-11-17,"Abilene Christian","New Hampshire","A","W",65,57
"35",2016-11-22,"Abilene Christian","Charleston So.","H","L",65,66
"36",2016-11-25,"Abilene Christian","Oklahoma","A","L",64,72
"37",2016-11-27,"Abilene Christian","Howard Payne","H","W",71,55
"38",2016-11-30,"Abilene Christian","New Mexico","A","L",55,64
"39",2016-12-03,"Abilene Christian","Charleston So.","A","W",85,82
"40",2016-12-10,"Abilene Christian","Northern N.M.","H","W",90,69
"41",2016-12-14,"Abilene Christian","Randall","H","W",78,74
"42",2016-12-17,"Abilene Christian","Sacramento St.","A","L",86,88
"43",2016-12-19,"Abilene Christian","San Francisco","A","L",51,86
"44",2016-12-29,"Abilene Christian","New Orleans","A","L",66,75
"45",2016-12-31,"Abilene Christian","Southeastern La.","A","L",53,75
"46",2017-01-05,"Abilene Christian","Central Ark.","H","L",76,81
"47",2017-01-07,"Abilene Christian","SFA","H","W",69,60
"48",2017-01-12,"Abilene Christian","Southeastern La.","H","L",50,56
"49",2017-01-14,"Abilene Christian","Lamar University","H","W",67,64
"50",2017-01-19,"Abilene Christian","Nicholls St.","A","L",59,62
"51",2017-01-26,"Abilene Christian","Incarnate Word","A","L",79,82
"52",2017-01-28,"Abilene Christian","A&M-Corpus Chris","A","L",60,72
"53",2017-02-01,"Abilene Christian","New Orleans","H","W",70,69
"54",2017-02-04,"Abilene Christian","Sam Houston St.","H","W",71,64
"55",2017-02-09,"Abilene Christian","Central Ark.","A","L",73,84
"56",2017-02-11,"Abilene Christian","Northwestern St.","H","W",76,72
"57",2017-02-16,"Abilene Christian","McNeese","A","W",82,78
"58",2017-02-22,"Abilene Christian","A&M-Corpus Chris","H","-",NA,NA
"59",2017-02-25,"Abilene Christian","Sam Houston St.","A","-",NA,NA
"60",2017-03-01,"Abilene Christian","Incarnate Word","H","-",NA,NA
