"","teamname","minutesplayed","team_fgm","team_fga","team_3fg","team_3fga","team_ft","team_fta","team_pts","team_oreb","team_dreb","team_ast","team_to","team_stl","team_blk","team_fls","opp_fgm","opp_fga","opp_3fg","opp_3fga","opp_ft","opp_fta","opp_pts","opp_oreb","opp_dreb","opp_ast","opp_to","opp_stl","opp_blk","opp_fls"
"1","A&M-Corpus Chris",5050,676,1423,131,389,412,576,1895,264,593,329,347,230,103,498,628,1421,203,578,384,551,1843,293,584,349,401,192,69,530
"2","Abilene Christian",5101,617,1331,177,468,323,492,1734,192,593,347,357,185,76,542,606,1349,176,510,378,573,1766,264,617,336,379,148,79,442
"3","Air Force",5477,692,1558,220,589,422,589,2026,266,701,415,322,159,50,498,705,1548,258,716,364,521,2032,231,692,415,330,160,100,566
"4","Akron",5400,721,1523,284,751,386,568,2112,268,681,403,309,137,83,490,688,1549,186,499,342,501,1904,255,613,304,303,150,47,514
"5","Alabama",5300,625,1466,178,557,393,614,1821,328,703,300,368,170,108,513,579,1425,174,500,380,567,1712,253,621,264,374,172,76,533
"6","Alabama A&M",4876,518,1323,99,392,324,498,1463,246,514,265,312,92,42,435,686,1429,180,486,331,487,1883,295,621,354,242,168,96,436
"7","Alabama St.",5101,575,1486,165,571,323,514,1638,340,621,247,400,136,78,496,640,1462,154,461,395,592,1829,296,669,314,345,189,72,468
"8","Albany (NY)",5801,761,1635,148,414,425,563,2095,331,725,360,339,156,43,511,680,1551,240,688,335,474,1935,212,620,382,344,165,121,536
"9","Alcorn",4999,619,1445,178,531,321,478,1737,287,665,338,360,166,90,483,603,1435,140,452,371,574,1717,296,634,319,331,170,59,439
"10","American",5225,600,1343,141,462,254,412,1595,177,573,287,345,176,62,485,618,1307,146,395,404,568,1786,210,646,315,346,173,70,427
"11","Appalachian St.",5025,631,1485,217,612,396,582,1875,286,655,353,347,136,82,538,653,1441,160,428,428,616,1894,245,668,330,323,143,99,538
"12","Arizona",5600,723,1540,183,465,468,613,2097,297,738,391,329,160,87,460,661,1600,178,576,278,427,1778,272,567,353,346,134,81,550
"13","Arizona St.",5600,762,1743,273,760,423,570,2220,264,659,357,297,172,92,482,827,1725,263,714,368,519,2285,307,795,529,392,146,109,526
"14","Ark.-Pine Bluff",5724,617,1530,178,542,324,494,1736,298,598,298,501,241,77,624,637,1425,185,588,560,793,2019,313,695,388,471,264,83,453
"15","Arkansas",5400,751,1620,187,491,495,656,2184,312,672,395,324,200,132,572,677,1600,201,597,455,659,2010,337,626,351,355,139,82,535
"16","Arkansas St.",5400,706,1499,192,489,392,613,1996,277,687,351,358,150,73,554,638,1476,156,515,413,600,1845,252,640,352,360,157,104,550
"17","Army West Point",5675,738,1680,258,730,312,476,2046,286,766,454,415,159,53,560,734,1656,183,561,408,586,2059,248,746,375,364,196,110,482
